"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"hsa05206","hsa05206","MicroRNAs in cancer",160,0.452975157284693,1.59759433354504,5.80700277465611e-05,0.000355551573395611,0.000229491891740796,2340,"tags=29%, list=14%, signal=25%","5159/6624/4854/7431/5155/3162/5336/7148/994/9493/4855/1029/5243/8434/399694/5156/113130/9839/4318/1869/898/1870/995/6935/5328/7057/1789/5293/3925/5335/1786/7078/2744/1943/6464/2146/63923/131405/8651/5595/578/8503/4325/3678/11186/7329/9134"
"hsa05165","hsa05165","Human papillomavirus infection",317,0.401754057169951,1.46305536076847,8.75124340342095e-05,0.000526583439274813,0.00033988495251036,3076,"tags=28%, list=19%, signal=24%","1277/1278/5159/26508/22801/7058/7450/4854/4242/1311/1282/10319/1284/3908/2335/3910/7148/6696/7059/1293/4855/1291/3676/1292/3912/8515/890/2535/23462/1869/898/8638/1286/7057/5526/4600/5293/7480/7484/23493/1857/7482/3133/3455/9636/8312/3695/9586/57801/23513/63923/5595/7060/7472/578/3674/4599/8503/581/7483/3678/3672/9134/1855/3661/3679/1285/5521/3134/10312/7471/8900/3915/7448/83439/3688/1299/10297/7481/28227/894/388585/7132/7124/1019/3996/3371/8517/6009/3693"
"hsa05169","hsa05169","Epstein-Barr virus infection",191,0.438344480239056,1.5618283551016,9.62832268360318e-05,0.000569539765521612,0.000367611249650505,3481,"tags=38%, list=21%, signal=30%","7431/953/695/5336/3718/3115/3113/3108/4067/3123/7097/3122/890/1869/898/1870/3683/3117/3119/919/3111/7188/864/3112/5293/3127/3383/5971/1647/7186/916/915/3133/2208/3455/6850/9636/3118/578/8503/581/917/9134/965/6300/3661/4793/3134/3654/3569/8900/4792/3120/4791/930/894/7124/1019/9020/6891/8517/1432/3716/1380/5710/11047/8772/3665/4940/377841/4794/3627"
"hsa00100","hsa00100","Steroid biosynthesis",18,-0.670561729682637,-2.28463301949874,0.000133709675402716,0.000777744611925797,0.000501997728704933,1309,"tags=50%, list=8%, signal=46%","2222/50814/6646/4047/1718/51478/10682/1717/1595"
"hsa01212","hsa01212","Fatty acid metabolism",52,-0.456146471842077,-1.93708078854123,0.000142590199241659,0.000815802943202281,0.000526562599442884,2951,"tags=40%, list=18%, signal=33%","5538/7923/31/2180/3992/33/1376/8310/1962/9524/34/9415/30/6319/60481/36/2181/79993/51/6342/39"
"hsa04940","hsa04940","Type I diabetes mellitus",42,0.610325798638466,1.89404761824774,0.000164141376237516,0.000923957101724085,0.000596371044394372,3510,"tags=62%, list=21%, signal=49%","942/3115/3113/3108/941/3123/3122/2571/4049/3117/3119/3111/3112/5551/3127/3593/940/3133/3118/3134/3553/3120/7124/3592/356/3002"
"hsa04014","hsa04014","Ras signaling pathway",227,0.419929849270806,1.50416644337443,0.000169589417380148,0.000939471534375739,0.000606384884199693,3909,"tags=35%, list=24%, signal=27%","5159/25780/2324/5155/9846/115727/4803/5336/1436/64926/2793/22821/2113/7010/8817/59345/5880/1435/399694/285/5156/2321/27040/3791/7535/3082/2323/51196/3481/2791/22808/10235/23179/51378/10156/5924/5293/5335/2322/54331/10125/26279/9771/2254/7074/1943/6464/5228/5595/7424/8503/2260/8844/11186/5321/387/2002/3363/5337/8831/8517/27/8437/7423/94235/51365/808/9965/6789/356/572/4914/3815/2252/26291/5923/51806/5601/5582/5898"
"hsa04082","hsa04082","Neuroactive ligand signaling",196,0.426404123925083,1.51631066750914,0.000228561110484232,0.00124637230560933,0.000804474961243843,3211,"tags=28%, list=19%, signal=22%","63910/3357/5330/134/196883/140/5031/2793/6529/135/2563/109/57030/113/59345/3356/3355/3269/9934/2791/8973/6512/150/6869/115/6536/6539/11054/3360/5032/54331/2912/5368/5331/5026/53829/43/2901/3352/147/2915/2914/3354/6866/3363/2899/2890/3359/2893/2911/2900/94235/136/2561"
"hsa05168","hsa05168","Herpes simplex virus 1 infection",157,0.448094717015969,1.5817537325569,0.000238738604995439,0.00128184266374474,0.000827369416502412,4121,"tags=41%, list=25%, signal=31%","29992/64170/3115/972/3113/3108/3123/5199/684/7097/3122/718/4049/3117/3119/3111/7188/3112/5293/3127/3593/7186/3133/8740/3455/6850/3118/54106/6347/578/8503/581/3678/330/3661/6352/3134/3654/3553/3569/4792/3120/7132/7124/6891/8517/6009/3592/3716/8772/3665/5371/4940/356/572/9021/29990/4938/6732/6892/637/841/7297/6672/3551"
"hsa04210","hsa04210","Apoptosis",131,0.461921961883538,1.6159031649038,0.000314827447613049,0.00166476938207506,0.00107453068244326,4563,"tags=46%, list=27%, signal=33%","1075/3563/1513/4803/1439/27113/1522/10376/7185/597/1520/27429/100506742/332/843/5551/4001/5293/1647/7186/60/84823/5595/6709/578/4000/1649/8503/581/51807/330/8837/4792/1509/7132/71/7124/9020/8517/5366/7846/8772/1521/1508/824/356/10038/572/3002/4914/79861/5601/637/841/3551/4170/1677/84790/836/3265"
