"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene"
1.2720382206517,7.68454845011654,13.1922149307069,3.09707198948733e-33,4.26031490246191e-31,64.728952795396,"CCDC88A"
2.54349742620549,5.72522949148148,13.1853046544202,3.30124144496621e-33,4.50963336555071e-31,64.6658096416631,"EDIL3"
1.04160658349555,8.93282777477837,13.17901495603,3.49871458500226e-33,4.74642859321238e-31,64.6083482407919,"EPS8"
1.35487941364508,6.48070908496837,13.1495211235258,4.59369286122824e-33,6.18921453926169e-31,64.3390411196308,"GJD3"
1.36323695104638,8.37164929743939,13.1456768352584,4.75957157586871e-33,6.36908384142268e-31,64.3039564168188,"MEF2C"
1.11526964490371,7.34608860868386,13.1278167676397,5.61201694683715e-33,7.45905306494822e-31,64.1410100935188,"SH2D3C"
1.16796077788326,7.99119022631597,13.1142922912415,6.35734590104846e-33,8.39297659191438e-31,64.0176773655669,"ACVRL1"
1.50502911973627,2.69092658512018,13.1003246958914,7.2307684618095e-33,9.48242976081697e-31,63.890356221383,"BTBD19"
1.17520305615278,9.92881113639966,13.0996012735056,7.2791303469207e-33,9.48263397710444e-31,63.8837633445244,"TGFBI"
1.29103993424494,9.32080854772808,13.0953905326659,7.56709344572317e-33,9.79291415597503e-31,63.8453917994257,"AXL"
0.986315885099083,10.0244847215801,13.0878002440458,8.11515665472529e-33,1.04335455264772e-30,63.7762354810809,"PHLDB1"
1.33964716279761,11.2168468555602,13.0817747505516,8.57826183067571e-33,1.09573369137157e-30,63.721347532949,"RGS5"
1.25318406123773,11.162311058532,13.0771344783657,8.95277699375652e-33,1.13619404028506e-30,63.6790847731702,"AQP1"
1.09256861588505,7.39982577071164,13.073683200547,9.24185751687915e-33,1.16536268727263e-30,63.6476550055514,"GRK5"
2.42798364860179,6.625908617593,13.0504118435192,1.14494150098072e-32,1.43453148189756e-30,63.4358154755721,"DDR2"
1.22560725558619,10.8168524803578,13.0206446032382,1.50549480101208e-32,1.87434102726004e-30,63.165062623106,"PPAP2B"
1.0999049695613,8.61652177739497,13.0176107076288,1.54807227703518e-32,1.91522828689051e-30,63.137481170021,"TTC28"
1.39780285883428,4.61071507457523,13.0109431582773,1.64590835399698e-32,2.02354145196716e-30,63.07687482625,"BST1"
1.29128631529643,3.36276256682397,13.0035564216559,1.76150766977808e-32,2.15221225914314e-30,63.0097457523782,"STK32B"
1.47205102989407,9.61295597256496,12.9959258261925,1.88942516943271e-32,2.29425200666116e-30,62.9404165721098,"MXRA5"
1.39453035989723,13.3724793078095,12.9748823778923,2.29220785749709e-32,2.76625894262731e-30,62.7493070695831,"A2M"
1.24685706093824,4.55473891061227,12.9545143227193,2.76333477104138e-32,3.31448526104604e-30,62.5644499527879,"ST6GALNAC3"
1.03056332062179,9.17547842195292,12.9372422475497,3.23768008890711e-32,3.85990333508435e-30,62.4077832981513,"TGFB1"
1.30519456213887,3.79657372914871,12.9273741580929,3.54425890318095e-32,4.19994680026943e-30,62.3183125884393,"RASGRP4"
1.44614722231672,10.8263716534185,12.9257298758748,3.59808378900462e-32,4.23819797685688e-30,62.3034071130421,"MMP2"
1.20009478198397,8.97385447170715,12.9227607758967,3.69734793920893e-32,4.3291982923916e-30,62.2764940661608,"STAB1"
1.39557863211693,7.65442433266226,12.9049150071329,4.35417483573644e-32,5.06810492270837e-30,62.1147861532847,"SLFN11"
1.54718725235079,6.18234173243703,12.8925808009689,4.87490030341928e-32,5.64083316873886e-30,62.0030739234998,"KIAA1211"
1.1611968594435,7.15428491129959,12.8906226519998,4.96309557882065e-32,5.70930135268895e-30,61.9853427611626,"ARHGEF15"
1.5313916464905,6.98706177294703,12.883570545919,5.294105206069e-32,6.05467113421996e-30,61.9214945982702,"ADAM19"
1.01620118618993,9.5666564876534,12.88063730177,5.43818087492355e-32,6.18349456593186e-30,61.8949418726547,"SEC23A"
1.44703941274037,3.40349110225967,12.8783886693818,5.5512698709684e-32,6.27580630067927e-30,61.8745881579089,"P2RY14"
1.21165090207709,8.27666137114892,12.8501796424038,7.18579227338464e-32,8.07724113198567e-30,61.6193749687521,"RFTN1"
